Số TT,Mã MH,Tên MH (Tiếng Việt),Tên MH (Tiếng Anh),Còn mở lớp,Đơn vị quản lý chuyên môn,Loại MH,Mã cũ,Mã môn học tương đương,Mã môn học tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
786,SE108,Kiểm chứng phần mềm,Software testing,,CNPM,CSN,,SE113,,IT001SE104,2,1
787,SE109,"Phát triển, vận hành, bảo trì phần mềm","Software development, deployment and maintenance",,CNPM,CSN,SE209,,,SE104,3,0
788,SE110,Phương pháp Phát triển phần mềm hướng đối tượng,Phương pháp Phát triển phần mềm hướng đối tượng,,CNPM,CN,,,,,3,1
789,SE111,Đồ án mã nguồn mở,Open source project,,CNPM,CSN,SE417,SE121,,IT001IT002IT003IT004SE104,2,0
790,SE112,Đồ án chuyên ngành,Specialized project,,CNPM,CSN,SE418,SE122,,IT002IT003IT004SE104,2,0
791,SE113,Kiểm chứng phần mềm,Software Testing,,CNPM,CNTC,,,,SE104,3,1
792,SE114,Nhập môn ứng dụng di động,Mobile Application Overview,,CNPM,CSN,,,,IT001IT002,2,1
793,SE121,Đồ án 1,Major Project 1,,CNPM,CSN,,,,SE104,2,0
794,SE122,Đồ án 2,Major Project 2,,CNPM,CSN,,,,SE121,2,0
795,SE207,Phân tích thiết kế hệ thống,System Analysis and Design,,CNPM,CN,,SE107,,,3,1
796,SE208,Kiểm chứng phần mềm,Software Testing,,CNPM,CN,,SE108,,,2,1
797,SE209,"Phát triển, vận hành, bảo trì phần mềm","Software Development, Deployment and Maintenance",,CNPM,CN,,SE109,,,3,0
798,SE210,Quản lý dự án công nghệ thông tin,Information-Technology Project Management,,CNPM,CN,,IS208,,,3,1
799,SE211,Phát triển phần mềm hướng đối tượng,Object-oriented Software Development Methodology,,CNPM,CN,,SE100,,,3,1
800,SE212,Phát triển phần mềm mã nguồn mở,Open-source Software Development,,CNPM,CN,,SE331,,,2,1
801,SE213,Xử lý phân bố,Distributed Computing,,CNPM,CN,,SE339,,,2,1
802,SE214,Công nghệ phần mềm chuyên sâu,Advanced software engineering,,CNPM,CN,,,,SE104IT001IT003,3,1
803,SE215,Giao tiếp người máy,Human-computer interaction,,CNPM,CN,,,,SE104,3,1
804,SE220,Thiết kế Game,Introduction to game design,,CNPM,CN,SE323,,,SE102,3,0
805,SE221,Lập trình game nâng cao,Advanced game programming,,CNPM,CN,,,,SE102,3,1
806,SE301,Phát triển phần mềm mã nguồn mở,Open-source software development,,CNPM,CN,SE212,,,IT003IT004IT002SE104SE109IT001,3,0
807,SE310,Công nghệ .NET,.Net technology,,CNPM,CNTC,SE312,,,IT008,3,1
808,SE311,Ngôn ngữ lập trình Java,Java Programming Language,,CNPM,CN,,SE330,,,3,1
809,SE312,Công nghệ .NET,.Net Technology,,CNPM,CN,,SE310,,IT004SE104SE347,3,1
810,SE313,Một số thuật toán thông minh,Intelligent algorithms,,CNPM,CNTC,SE337,,,IT002IT003IT001,2,0
811,SE320,Lập trình đồ họa 3 chiều với Direct3D,3D programming with Direct3D,,CNPM,CNTC,,,,SE102,3,1
812,SE321,Lập trình trên thiết bị di động,Mobile Device Application Development,,CNPM,CN,,SE346,,,4,0
813,SE322,Công nghệ Web và ứng dụng,Web Technology and Applications,,CNPM,CN,,SE341,,,2,0
814,SE323,Thiết kế Game,Introduction to game design,,CNPM,CN,,SE220,,,4,0
815,SE324,Nhập môn lập trình 3D game,3D game engine design,,CNPM,CN,,,,,3,1
816,SE325,Chuyên đề J2EE,J2EE,,CNPM,CNTC,,,,IT002IT003IT004,3,1
817,SE326,Cơ sở dữ liệu nâng cao,Advanced Databases,,CNPM,CN,,IS337,,,2,0
818,SE327,Phát triển và vận hành game,Games development,,CNPM,CNTC,,,,SE102,3,0
819,SE328,Lập trình TTNT trong Game,Artificial intelligence on game programming,,CNPM,CNTC,SE334,,,IT002IT003SE102,3,1
820,SE329,Thiết kế 3D Game Engine,3D game engine design,,CNPM,CNTC,,,,SE102,3,1
821,SE330,Ngôn ngữ lập trình Java,Java programming language,,CNPM,CSN,SE311,,,IT001IT002,3,1
822,SE331,Chuyên đề E-commerce,E-commerce,,CNPM,CNTC,SE331,,,IT004SE104,2,0
823,SE332,Chuyên đề CSDL nâng cao,Advanced database,,CNPM,CN,SE326,,,IT004,2,0
824,SE333,Chuyên đề E-Government,E-Government,,CNPM,CN,,SE404,,,2,0
825,SE334,Các phương pháp lập trình,Programming paradigms,,CNPM,CN,SE103,,,IT001,2,1
826,SE335,Công nghệ XML và ứng dụng,XML technology and applications,,CNPM,CN,,,,,3,1
827,SE336,Phương pháp luận sáng tạo KH-CN,Scientific methodology and innovation,,CNPM,CN,,CS519,,,2,0
828,SE337,Các thuật toán thông minh,Intelligent Algorithms,,CNPM,CN,,SE313,,,1,0
829,SE338,Logic mờ,Fuzzy logic,,CNPM,CN,SE342,CS405,,,2,0
830,SE339,Xử lý phân bổ,Distributed computing,,CNPM,CN,,,,,2,1
831,SE340,Quản lý dự án công nghệ thông tin,Information-technology project management,,CNPM,CN,SE210,IS208,,IT001,3,1
832,SE341,Công nghệ Web và ứng dụng,Web technology and applications,,CNPM,CN,,,,IT001IT002IT004,2,0
833,SE342,Logic mờ,Fuzzy logic,,CNPM,CN,,,,,2,0
834,SE343,Công nghệ Portal,Portal technology,,CNPM,CNTC,SE343,,,SE347,3,0
835,SE344,Lập trình game trong các thiết bị di động,Mobile game programming,,CNPM,CNTC,SE344,,,IT001SE346,3,1
836,SE345,Kỹ thuật lập trình nhúng,Embedded programming techniques,,CNPM,CN,,,,,3,1
837,SE346,Lập trình trên thiết bị di động,Mobile device application development,,CNPM,CN,,,,IT001IT008,3,1
838,SE347,Công nghệ Web và ứng dụng,Web technology and applications,,CNPM,CNTC,,SE341,,IT001IT002IT004,3,1
839,SE348,Chuyên đề M-commerce,M-commerce,,CNPM,ĐC,,,,SE331,2,0
840,SE349,Nhập môn Quản trị doanh nghiệp,Introduction to business administration,,CNPM,CN,ITEM1,IE202,,,2,0
841,SE350,Chuyên đề E-learning,E-learning,,CNPM,ĐC,,,,,2,0
842,SE351,Xử lý song song,Parallel processing,,CNPM,CN,,,,IT001IT002IT003,3,1
843,SE352,Phát triển ứng dụng VR,VR App Development,,CNPM,CNTC,,,,SE102,2,1
844,SE354,Chuyên đề các quy trình phát triển phần mềm hiện đại,E-learning,,CNPM,CNTC,,,,,2,1
845,SE355,Máy học và các công cụ,Machine learning and tools,,CNPM,CN,,,,IT003,2,1
846,SE356,Kiến trúc Phần mềm,Software Architecture,,CNPM,CNTC,,,,SE104SE100,3,1
847,SE357,Kỹ thuật phân tích yêu cầu,Requirement Engineering,,CNPM,CNTC,,,,SE104,2,1
848,SE358,Quản lý dự án Phát triển Phần mềm,Software development project management,,CNPM,CN,,,,SE104,3,1
849,SE400,Seminar các vấn đề hiện đại của CNPM,Seminar on modern software engineering,,CNPM,CĐTN,,,,SE100SE104,4,0
850,SE401,Mẫu thiết kế,Software design pattern,,CNPM,CĐTN,,,,SE100,3,0
851,SE402,Điện toán đám mây,Cloud computing,,CNPM,CĐTN,,IS402,,IT005IT008,2,0
852,SE403,Nguyên lý thiết kế thế giới ảo,Virtual-world design,,CNPM,CĐTN,,,,,4,0
853,SE404,Chuyên đề E-Government,E-government,,CNPM,CĐTN,SE333,,,,2,0
854,SE405,Chuyên đề Mobile and Pervasive Computing,Mobile pervasive computing,,CNPM,CĐTN,,,,SE114,3,0
855,SE417,Đồ án môn học mã nguồn mở,Open Source Project,,CNPM,ĐA,,SE111,,,2,0
856,SE418,Đồ án môn học chuyên ngành,Specialized Project,,CNPM,ĐA,,SE112,,,3,0
857,SE501,Thực tập tốt nghiệp,Internship,,CNPM,TTTN,,,,,2,0
858,SE505,Khóa luận tốt nghiệp,Thesis,,CNPM,KLTN,,,,SE122,10,0
859,SMET1,Phương pháp NCKH trong tin học,Scientific Research Methodology in Informatics,,PĐTĐH,ĐC,SMET1,CS519SS005,,,2,0
860,SMET2,Phương pháp luận sáng tạo KH-CN,Scientific Method and Innovation,,PĐTĐH,ĐC,SMET2,CS519SS005,,,2,0
861,SOCI1,Chủ nghĩa xã hội khoa học,Scientific socialism,,P.ĐTĐH,ĐC,,,,,3,0
862,SP3724,Kỹ năng giao tiếp,Communication Skills,,HTTT,ĐC,,,,,3,0
863,SPCH2713,Kỹ năng giao tiếp,Introduction to Speech Communication,,HTTT,ĐC,,,,,2,0
864,SPCH3723,Tiếng Anh chuyên ngành CNTT,English for computer science,,HTTT,ĐC,,,,,3,0
865,SPCH3724,Kỹ năng giao tiếp,Communication skills,,HTTT,ĐC,SP3724,SPCH2713,,,3,0
866,SS001,Những nguyên lý cơ bản của chủ nghĩa Mác Lênin,Fundamental principles of Marxism-Leninism,,PĐTĐH,ĐC,PHIL1,,,,5,0
867,SS002,Đường lối cách mạng của Đảng CS Việt Nam,The revolutionary way of the communist party of Vietnam,,PĐTĐH,ĐC,VCPL1,SS010,,,3,0
868,SS003,Tư tưởng Hồ Chí Minh,Ho Chi Minh’s Thoughts,,PĐTĐH,ĐC,HCMT1,,,,2,0
869,SS004,Kỹ năng nghề nghiệp,Professional skills,,PĐTĐH,ĐC,,,,,2,0
870,SS005,Phương pháp luận sáng tạo KH-CN,Scientific methodology and innovation,,PĐTĐH,ĐC,SE336,SMET1 SMET2CS519,,,2,0
871,SS006,Pháp luật đại cương,Introduction to law,,P.ĐTĐH,ĐC,,,,,2,0
872,SS007,Triết học Mác – Lênin,Philosophy Marx - Lenin,,PĐTĐH,ĐC,,,,,3,0
873,SS008,Kinh tế chính trị Mác – Lênin,Political economics of Marxism and Leninism,,PĐTĐH,ĐC,,,,,2,0
874,SS009,Chủ nghĩa xã hội khoa học,Scientific socialism,,PĐTĐH,ĐC,,,,,2,0
875,SS010,Lịch sử Đảng Cộng sản Việt Nam,History of Vietnamese communist party,,PĐTĐH,ĐC,,,,,2,0
876,SSKL1,Kỹ năng mềm,Soft skills,,P.ĐTĐH,ĐC,,,,,2,0
877,STA01,Xác suất thống kê,Statistics,,BMAV,ĐC,,MA005,,,3,0
878,STAT11,Xác xuất thống kê,Statistics,,HTTT,ĐC,,,,,3,0
879,STAT3013,Phân tích thống kê,Intermediate Statistical Analysis,,HTTT,CS,,,,STAT4033,3,0
880,STAT4033,Thống kê,Statistics,,HTTT,ĐC,,,,MATH3013,3,0
881,THU086,Đào tạo năng lực thông tin,Information Literacy Training,,PĐTĐH,CN,,,,,2,0
882,THU107,Truyền thông xã hội trong các tổ chức,Social Media in The Organization,,PĐTĐH,CN,,,,,2,0
883,TLH025,Tâm lý học nhân cách,Psychology of Personality,,PĐTĐH,CN,,,,,3,0
884,TOEIC 450,TOEIC 450,TOEIC 450,,TTNN,ĐC,,,,,0,0
885,TOEIC450,TOEIC 450,TOEIC 450,,TTNN,ĐC,,,,,0,0
886,VCPH1,Lịch sử Đảng CSVN,History of the Communist Party of Vietnam,,P.ĐTĐH,ĐC,,,,,3,0
887,VCPL1,Đường lối cách mạng của Đảng CSVN,Revolution Directions of Vietnam Communist Party,,TTNN,ĐC,,SS002,,,3,0
888,WINP1,Lập trình trên Windows,Windows Programming,,CNPM,ĐC,,IT008,,,3,1
